Name,Description,State,Main,Included,Category
Activator - Event Analytics,Represents Data Activator on your capacity,GA,FALSE,TRUE,Activator
Activator - Event Analytics Capacity Usage CU,Represents Data Activator on your capacity,GA,FALSE,TRUE,Activator
Apache Airflow job,Represents Apache Airflow on your capacity,GA,FALSE,TRUE,Apache Airflow
Apache Airflow job Capacity Usage CU,Represents Apache Airflow on your capacity,GA,FALSE,TRUE,Apache Airflow
API for GraphQL Query,Represents GraphQL Query API for your capacity,GA,FALSE,TRUE,GraphQL
API for GraphQL Query Capacity Usage CU,Represents GraphQL Query API for your capacity,GA,FALSE,TRUE,GraphQL
Autoscale for Spark,Represents autoscale for Spark on your capacity,GA,FALSE,FALSE,Spark
autoscale for Spark Capacity Usage CU,Represents autoscale for Spark on your capacity,Preview,FALSE,FALSE,Spark
OneLake Cache Data Stored,OneLake Cache Data Stored,GA,FALSE,FALSE,OneLake
Compute Pool Capacity Usage CU,Represents the available capacity,GA,TRUE,TRUE,Fabric CU
Copilot and AI,Represents Copilot and AI on your capacity,GA,FALSE,TRUE,Copilot
Copilot and AI Capacity Usage CU,Represents Copilot and AI on your capacity,GA,FALSE,TRUE,Copilot
Cosmos DB backup storage Data Stored,Cosmos DB backup storage Data Stored,Preview,FALSE,TRUE,Cosmos DB
Cosmos DB data restore Data Stored,Cosmos DB data restore Data Stored,Preview,FALSE,TRUE,Cosmos DB
Cosmos DB storage Data Stored,Cosmos DB storage Data Stored,Preview,FALSE,TRUE,Cosmos DB
Csms DB in MS Fabric Capacity Usage CU,Csms DB in MS Fabric Capacity Usage CU,Preview,FALSE,TRUE,Cosmos DB
Data Movement - Incremental copy Capacity Usage CU,Data Movement - Incremental copy Capacity Usage CU,GA,FALSE,TRUE,Data Movement
Data Movement Capacity Usage CU,Represents the Pipelines Data Movement usage on your capacity,GA,FALSE,TRUE,Data Movement
Data Orchestration Capacity Usage CU,Represents the Pipelines Data Orchestration usage on your capacity,GA,FALSE,TRUE,Data Orchestration
Data Warehouse Capacity Usage CU,Represents the Fabric Data Warehouse usage on your capacity,GA,FALSE,TRUE,Data Warehouse
Dataflows High Scale Compute Capacity Usage CU,Represents the Dataflows High Scale Compute used for staging items on your capacity,GA,FALSE,TRUE,Dataflows
Dataflows Standard Compute Capacity Usage CU,Represents the Dataflows Standard Compute usage on your capacity,GA,FALSE,TRUE,Dataflows
Digital Twin Builder Capacity Usage CU,Digital Twin Builder Capacity Usage CU,GA,FALSE,TRUE,Digital Twin
